"velocity"
"Time Step" "vx etc.."
("TimeStep" "vx(point-04-000625)" "vx(point-04-040000)" "vx(point-14-040000)" "vy(point-04-000625)" "vy(point-04-040000)" "vy(point-14-040000)" "vz(point-04-000625)" "vz(point-04-040000)" "vz(point-14-040000)" "flow-time")
60200 0.4613932 1.640528 1.194573 0.03850621 1.645601 0.6437836 0.102638 0.3571792 -0.1133394 7525
60201 0.4616027 1.684123 1.198675 0.02743812 1.586504 0.6402816 0.1067053 0.3095244 -0.09591449 7525.125
60202 0.4615465 1.73072 1.20185 0.01628279 1.522253 0.6378915 0.1112974 0.2599379 -0.07658807 7525.25
60203 0.4612198 1.779334 1.204306 0.005060951 1.454917 0.6366058 0.1163566 0.2081592 -0.05565672 7525.375
60204 0.4605187 1.828569 1.206192 -0.006176079 1.386405 0.6363962 0.1219352 0.1541162 -0.03339103 7525.5
60205 0.4594575 1.875947 1.20776 -0.01739374 1.318338 0.6371979 0.1280745 0.09821925 -0.009949661 7525.625
60206 0.4581369 1.921815 1.209442 -0.02861416 1.250177 0.6390606 0.1347097 0.04139751 0.01450079 7525.75
60207 0.4565774 1.959437 1.211541 -0.03997128 1.183615 0.6419298 0.1417352 -0.01522779 0.03956465 7525.875
60208 0.4546837 1.987711 1.214257 -0.05153444 1.126412 0.6454381 0.148997 -0.07044985 0.06500454 7526
60209 0.4524468 2.003816 1.217894 -0.06333579 1.081066 0.6499514 0.1563482 -0.1228671 0.09048377 7526.125
60210 0.4498769 2.011585 1.222542 -0.07538164 1.050245 0.6552758 0.1636938 -0.1706211 0.1155327 7526.25
60211 0.4470054 2.011034 1.228238 -0.08763546 1.033053 0.6610426 0.1709757 -0.2121651 0.1410234 7526.375
60212 0.4438382 2.004057 1.234876 -0.1001434 1.025198 0.6671355 0.1781233 -0.2452837 0.1656887 7526.5
60213 0.4403603 1.989602 1.242345 -0.1129757 1.023292 0.6733132 0.1848327 -0.270743 0.1894428 7526.625
60214 0.4365349 1.972093 1.250463 -0.1262043 1.026524 0.6793103 0.1908928 -0.2882071 0.2123264 7526.75
60215 0.4323217 1.956549 1.258963 -0.1398676 1.033268 0.6851359 0.1961317 -0.299177 0.2338321 7526.875
60216 0.4275797 1.944533 1.267748 -0.1539594 1.042058 0.690936 0.2001906 -0.3034186 0.2538289 7527
60217 0.4223034 1.93637 1.276817 -0.1686148 1.051997 0.6969281 0.2030606 -0.3019909 0.2718556 7527.125
60218 0.4166219 1.933879 1.285907 -0.1839215 1.062271 0.7033405 0.2049555 -0.2962104 0.2876572 7527.25
